Do you consent to participate in this study?,"Section 1: Core Focus
Q1. On average, how long can you stay focused on a single task before getting distracted?",Q2. What distracts you most often during the day? (Select up to 3. If 'Other' please specify.),Q3. How often do you feel frustrated because you can’t stay focused long enough to finish important tasks?,"

Section 2: Cross-Over Questions

Q4. How often do you feel tired or drained even on days when you haven’t worked very hard?",Q5. How often do you feel busy all day but accomplish little of real importance?,"Section 3: Values Alignment
Q6. To what extent do you feel your daily tasks align with your personal values?","Q7. When your work or activities reflect your values, how does it affect your focus?","Section 4: Coping & Behaviors
Q8. Which strategies do you currently use to manage distractions? (Select all that apply)","Section 5: Open Reflection
Q9. If you could change one thing to improve your ability to focus, what would it be? (Open text)",Q10. What’s one word that best describes how you feel when you lose focus? (Open text),"Section 6: Demographics
Q11. What is your age?",Q12. What is your gender?,Q13. What is your current employment status?,Q14. Which country/region do you live in?,"

Q15. Do you feel confident you could clearly name your top 3 personal values?","Q16a. Please try listing up to 3 values that are most important to you. Don't worry if you’re not sure, just write what comes to mind.",Q16b. Please list a second personal value (Value 2 – optional),Q16c. Please list a third personal value (Value 3 – optional)
"Yes, I consent",21–30 minutes,"Smartphone notifications, Email or messaging apps, Colleagues, family, or friends",Rarely,Never,Never,Somewhat aligned,I feel somewhat more focused,"Taking breaks / exercise, Aligning tasks with personal priorities or values",Take away distractions,Annoyed,45 - 54,Female,Employed full-time,London,Somewhat,Honesty,loylty,Kindness
"Yes, I consent",11–20 minutes,"Smartphone notifications, Multitasking / switching tasks, Internal thoughts/worries",Sometimes,Almost always,Often,Somewhat misaligned,I feel somewhat more focused,"Working in quiet spaces, Taking breaks / exercise, Aligning tasks with personal priorities or values",The ability to completely block out distractions,frustrated,45 - 54,Female,Self-employed,Australia,Somewhat,Family,Security/Safety,Financial Freedom
"Yes, I consent",More than 30 minutes,"Background noise / environment, Internal thoughts/worries",Rarely,Often,Sometimes,Somewhat aligned,Neutral,"Silencing notifications, Scheduling focus time / using timers, Working in quiet spaces, Taking breaks / exercise",Move into the country,annoyed,55 +,Male,Self-employed,UK,Somewhat,honesty,loyalty,integrity
"Yes, I consent",11–20 minutes,"Email or messaging apps, Multitasking / switching tasks, Colleagues, family, or friends",Sometimes,Almost always,Rarely,Somewhat aligned,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise",Put my phone away.,Frustrated,45 - 54,Male,Employed full-time,United Kingdom,Somewhat,Honesty,Humility,I cannot think of a 3rd
"Yes, I consent",5–10 minutes,"Multitasking / switching tasks, Internal thoughts/worries",Sometimes,Sometimes,Often,Somewhat aligned,I feel somewhat more focused,"Working in quiet spaces, Taking breaks / exercise",Be able to switch focus on and off exactly when I want. ,Weak,25 - 34,Male,Employed part-time,Australia,Somewhat,Persistance,Self care,
"Yes, I consent",More than 30 minutes,Internal thoughts/worries,Rarely,Sometimes,Sometimes,Somewhat aligned,I feel somewhat more focused,"Working in quiet spaces, Aligning tasks with personal priorities or values",I would make myself feel more physically healthier and energized with a better diet which I believe would enhance my mental health and brain focus.,Tired,45 - 54,Male,Self-employed,united kingdom (north east),Yes definitely,Stoicism,Honesty,Integrity
"Yes, I consent",11–20 minutes,"nothing really interrupts me, I just feel like I can't concentrate any more",Sometimes,Sometimes,Sometimes,Somewhat aligned,I feel somewhat more focused,Taking breaks / exercise,Get diagnosed for ADHD,normal,55 +,Female,Self-employed,Scotland,Somewhat,"Kindness, Honesty, Reliability ",Compassion,
"Yes, I consent",11–20 minutes,"Email or messaging apps, Background noise / environment, Colleagues, family, or friends",Sometimes,Often,Sometimes,Neutral,I feel somewhat more focused,"Working in quiet spaces, Taking breaks / exercise",To be continually busy ,Irritated,55 +,Female,Employed full-time,UK,Somewhat,"Honesty, respect, kindness",,
"Yes, I consent",21–30 minutes,"Multitasking / switching tasks, Background noise / environment, Internal thoughts/worries",Sometimes,Sometimes,Often,Very strongly aligned,I feel much more focused and energized,"Working in quiet spaces, Taking breaks / exercise, Aligning tasks with personal priorities or values",I would want to learn to ignore the external environment more - it is amazing how many times I get to be very interested in the weather outside the window for no real reason.,irritated,55 +,Male,Other,United Kingdom,Yes definitely,"Helpfulness, loyalty, fairness",hard working,fit
"Yes, I consent",21–30 minutes,"Social media scrolling, Multitasking / switching tasks",Sometimes,Sometimes,Sometimes,Very strongly aligned,I feel somewhat more focused,"Silencing notifications, Taking breaks / exercise","I would have the ability to male sure all tasks can be broken down and down with plenty of breaks
",Frustrated ,25 - 34,Female,Employed part-time,Scotland ,Not really,Honesty,Family,Patience 
"Yes, I consent",More than 30 minutes,"Background noise / environment, Internal thoughts/worries",Sometimes,Sometimes,Rarely,Neutral,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise",not having so many racing thoughts that are difficult to suppress,frustrated,25 - 34,Male,Employed full-time,United Kingdom,Not really,Integrity,Honesty,Open-mindedness 
"Yes, I consent",5–10 minutes,"Smartphone notifications, Multitasking / switching tasks, Colleagues, family, or friends",Sometimes,Sometimes,Sometimes,Somewhat aligned,No noticeable difference,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise",To not be addicted to my smartphone,Disappointed,35 - 44,Female,Employed full-time,Wales,Somewhat,Loyalty,Kindness,Hard work
"Yes, I consent",11–20 minutes,"Social media scrolling, Multitasking / switching tasks, Background noise / environment",Sometimes,Often,Often,Somewhat misaligned,I feel much more focused and energized,"Scheduling focus time / using timers, Working in quiet spaces, Taking breaks / exercise","The ability to block out my own distracting thoughts. It's not always an outside force that distracts me, it's myself. I see something that makes me think of something else and all of the sudden it's reminded me it's going to rain tomorrow so I need to put the bedding in the wash now. ",Scattered,35 - 44,Female,Employed full-time,England,Yes definitely,Empathy,Open-mindedness,Humility
"Yes, I consent",11–20 minutes,"Smartphone notifications, Multitasking / switching tasks, Background noise / environment",Sometimes,Often,Sometimes,Somewhat misaligned,I feel much more focused and energized,"Scheduling focus time / using timers, Working in quiet spaces, Taking breaks / exercise",I wish I could tune out getting distracted by the little sounds that go on around me ,Frustrated,25 - 34,Female,Employed part-time,England UK,Not really,Treat others how you want to be treated ,Treat the earth and animals kindly ,
"Yes, I consent",5–10 minutes,"Background noise / environment, Internal thoughts/worries",Sometimes,Sometimes,Sometimes,Neutral,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise",Improve my ability to relax and concentrate ,Annoyed,55 +,Female,Other,England,Somewhat,Honesty,Fairness,Equality 
"Yes, I consent",21–30 minutes,"Smartphone notifications, Email or messaging apps, Social media scrolling",Sometimes,Rarely,Sometimes,Somewhat aligned,I feel much more focused and energized,"Silencing notifications, Aligning tasks with personal priorities or values",Disconnect the phone for as long as necessary to avoid distractions.,Distracted,35 - 44,Female,Self-employed,Scotland,Somewhat,Authenticity,Passion,Freedom
"Yes, I consent",21–30 minutes,"Social media scrolling, Background noise / environment, Internal thoughts/worries",Sometimes,Often,Sometimes,Somewhat aligned,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise",Not let my inner thoughts take over.,Frustrated.,25 - 34,Male,Employed full-time,"East of England, United Kingdom",Somewhat,Honesty,Loyalty,Respect
"Yes, I consent",More than 30 minutes,"Social media scrolling, Multitasking / switching tasks, Colleagues, family, or friends",Sometimes,Sometimes,Sometimes,Somewhat aligned,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise",Less time on phones,disappointed,45 - 54,Female,Employed full-time,united kingdom,Somewhat,advancing learning,quality time,
"Yes, I consent",More than 30 minutes,"Colleagues, family, or friends",Rarely,Rarely,Sometimes,Somewhat aligned,Neutral,Working in quiet spaces,Think less about the past.,confused,45 - 54,Male,Employed full-time,USA,Yes definitely,loyalty,honesty,caring
"Yes, I consent",21–30 minutes,"Smartphone notifications, Email or messaging apps, Background noise / environment",Rarely,Sometimes,Never,Very strongly aligned,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces, Aligning tasks with personal priorities or values",My environment finding somewhere more peaceful ,Irritable ,45 - 54,Male,Employed full-time,England/United Kingdom,Yes definitely,"Respect, Privacy, Reliability ",Privacy,Reliability 
"Yes, I consent",21–30 minutes,"Smartphone notifications, Social media scrolling, Colleagues, family, or friends",Sometimes,Almost always,Sometimes,Neutral,I feel somewhat more focused,"Working in quiet spaces, Taking breaks / exercise",Shutting off things that might distract me,irritated,35 - 44,Female,Self-employed,England,Not really,Kindess,respect,helpful
"Yes, I consent",More than 30 minutes,"Email or messaging apps, Social media scrolling, Internal thoughts/worries",Rarely,Sometimes,Sometimes,Somewhat aligned,I feel somewhat more focused,Silencing notifications,to have something to look forward to after whatever task,frustrated,55 +,Female,Employed part-time,United Kingdom,Somewhat,honesty ,loyalty,family
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Multitasking / switching tasks, Internal thoughts/worries",Sometimes,Sometimes,Often,Neutral,I feel much more focused and energized,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise",I’d make it so it’s easier to quiet all the worries and concerns that are constantly flowing through my mind. ,Disappointed,35 - 44,Male,Employed part-time,Canada,Somewhat,Honesty,Integrity,Kindness
"Yes, I consent",11–20 minutes,Smartphone notifications,Sometimes,Rarely,Rarely,Somewhat aligned,I feel somewhat more focused,"Scheduling focus time / using timers, Taking breaks / exercise",Work in the house alone,Annoyed,35 - 44,Male,Employed full-time,United Kingdom,Yes definitely,"Honesty, good sense of humour, empathetic",reliable,
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Social media scrolling, Colleagues, family, or friends",Rarely,Sometimes,Rarely,Very strongly aligned,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces","Probably keep my phone out of reach and social media apps unavailable. If the question means change about myself, more self control with resisting distractions",Frustrated,35 - 44,Female,Self-employed,United Kingdom,Not really,Intelligence,Creativity,Kindness
"Yes, I consent",11–20 minutes,"Smartphone notifications, Multitasking / switching tasks, Internal thoughts/worries",Sometimes,Often,Rarely,Somewhat aligned,I feel much more focused and energized,"Silencing notifications, Working in quiet spaces",Plenty of sleep would help me be more focused and refreshed. Good sleep helps me with focus.,Tired,35 - 44,Female,Unemployed,UK South East,Yes definitely,Live by obeying God's law ,Be humble,Be forgiving
"Yes, I consent",5–10 minutes,"Smartphone notifications, Social media scrolling, Internal thoughts/worries",Sometimes,Often,Often,Somewhat aligned,I feel somewhat more focused,Taking breaks / exercise,determination or motivation in general,frustrated,35 - 44,Female,Employed full-time,USA,Somewhat,compassion,loyalty,love
"Yes, I consent",More than 30 minutes,"Social media scrolling, Internal thoughts/worries",Rarely,Sometimes,Sometimes,Somewhat aligned,I feel much more focused and energized,"Working in quiet spaces, Taking breaks / exercise","I would like to stop scrolling social media, it be aimed a distraction for me because I can’t seem to stop even though I know it is stopping me from getting things done. ",Frustrated.,35 - 44,Female,Employed full-time,UK,Somewhat,Creativity,Integrity ,Loyalty
"Yes, I consent",More than 30 minutes,"Background noise / environment, Colleagues, family, or friends",Rarely,Rarely,Never,Somewhat aligned,I feel much more focused and energized,"Working in quiet spaces, Taking breaks / exercise, Aligning tasks with personal priorities or values",i avoid going to the office if i know i would have to focus on a particular day,frustration,25 - 34,Female,Employed full-time,UK,Yes definitely,being on time,reliability,competence
"Yes, I consent",More than 30 minutes,"Multitasking / switching tasks, Background noise / environment, Colleagues, family, or friends",Rarely,Rarely,Rarely,Somewhat aligned,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise",Have a private office to work in so that I won't be disturbed when other team members are having discussions or conversations.,Frustrated,45 - 54,Male,Employed full-time,United Kingdom,Yes definitely,Integrity,Honesty,Empathy
"Yes, I consent",21–30 minutes,"Background noise / environment, Internal thoughts/worries",Sometimes,Sometimes,Sometimes,Somewhat aligned,No noticeable difference,None of the above,I'd be stricter and remove my dog from the room. She likes attention and I enjoy giving it.,Resigned.,55 +,Male,Unemployed,Scotland,"No, not at all",Honestly,Friendliness,Trust
"Yes, I consent",5–10 minutes,"Smartphone notifications, Social media scrolling, Colleagues, family, or friends",Sometimes,Often,Often,Somewhat aligned,I feel somewhat more focused,"Scheduling focus time / using timers, Using apps/tools to block distractions, Aligning tasks with personal priorities or values",Better environment with less distractions,Useless,25 - 34,Male,Employed full-time,England,Somewhat,Honesty,Authenticity,Positive
"Yes, I consent",More than 30 minutes,"Social media scrolling, Colleagues, family, or friends",Sometimes,Sometimes,Often,Neutral,I feel somewhat more focused,"Working in quiet spaces, Taking breaks / exercise",I would say keep myself isolated from others and doing work on a laptop that has no distractions on it.,disheartened,35 - 44,Male,Self-employed,UK,Yes definitely,Honesty,Compassion,Courage
"Yes, I consent",5–10 minutes,"Smartphone notifications, Background noise / environment",Sometimes,Sometimes,Often,Somewhat misaligned,I feel much more focused and energized,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise",simpler tasks to complete.,waste,35 - 44,Male,Employed full-time,United Kingdom,Not really,Hard work,Value,Achievement
"Yes, I consent",More than 30 minutes,"Multitasking / switching tasks, Colleagues, family, or friends",Sometimes,Often,Often,Neutral,I feel somewhat more focused,"Scheduling focus time / using timers, Working in quiet spaces, Taking breaks / exercise",Separating tasks instead of multitasking.,defeat ,25 - 34,Female,Employed part-time,United Kingdom,Somewhat,Family,Creativity,Financial freedom
"Yes, I consent",21–30 minutes,"Smartphone notifications, Social media scrolling",Rarely,Sometimes,Rarely,Neutral,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise",move other people away from me,unhappy,45 - 54,Male,Employed full-time,England,Somewhat,Organised,Honesty,manners
"Yes, I consent",5–10 minutes,"Multitasking / switching tasks, Colleagues, family, or friends, Internal thoughts/worries",Sometimes,Often,Sometimes,Somewhat aligned,I feel much more focused and energized,"Silencing notifications, Working in quiet spaces",I would prefer to work somewhere that didn't have as many distractions.  I'd like my own office with no other people and be able to shut the door so I didn't have to hear what was going on around the building.,Frustrated,35 - 44,Female,Employed full-time,United Kingdom,Somewhat,Honesty,Appreciation,Humour
"Yes, I consent",11–20 minutes,"Smartphone notifications, Social media scrolling, Colleagues, family, or friends",Sometimes,Rarely,Sometimes,Somewhat misaligned,I feel somewhat more focused,"Silencing notifications, Taking breaks / exercise",Remove smartphone temptation ,Frustrated ,35 - 44,Female,Employed part-time,England ,Not really,"Honesty, trustworthy, loyal ",,
"Yes, I consent",11–20 minutes,"Multitasking / switching tasks, Background noise / environment, Internal thoughts/worries",Sometimes,Sometimes,Rarely,Somewhat aligned,I feel somewhat more focused,"Working in quiet spaces, Taking breaks / exercise","That others around you understand your needs and can then act accordingly.
",Frustration,55 +,Male,Employed part-time,England,Somewhat,"Time, patience and listening.",,
"Yes, I consent",11–20 minutes,"Email or messaging apps, Background noise / environment, Internal thoughts/worries",Sometimes,Often,Often,Somewhat aligned,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise"," To learn how to concentrate more on the job in hand. Reduce stress which makes my mind wander
",annoyed,55 +,Female,Employed full-time,UK,Yes definitely,Honesty,Loyal,Trustworthy
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Social media scrolling, Internal thoughts/worries",Almost always,Rarely,Rarely,Somewhat aligned,I feel much more focused and energized,"Silencing notifications, Scheduling focus time / using timers, Taking breaks / exercise, Aligning tasks with personal priorities or values",Ability to keep my mind focused on the activity in question without wondering and worrying,Disappointed,25 - 34,Female,Employed full-time,United Kingdom,Yes definitely,My children. Being a good friend and travelling,Generosity ,Kindness
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Background noise / environment",Rarely,Rarely,Sometimes,Somewhat aligned,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise",It would be to have somewhere to go that was quieter,Annoyed,35 - 44,Female,Employed part-time,United Kingdom,Somewhat,"Honesty, loyalty",,
"Yes, I consent",More than 30 minutes,"Background noise / environment, Colleagues, family, or friends",Never,Never,Rarely,Very strongly aligned,No noticeable difference,"Working in quiet spaces, Taking breaks / exercise",Somewhat less distraction from interruptions by colleagues requesting assistance. Although this is quite frequent I can minimise this by working in a quiet side room.,Unperturbed,55 +,Female,Employed full-time,United Kingdom,Yes definitely,"Integrity, honesty, determination",Trustworthy,Compassionate
"Yes, I consent",More than 30 minutes,Multitasking / switching tasks,Sometimes,Rarely,Rarely,Somewhat aligned,I feel much more focused and energized,"Taking breaks / exercise, Aligning tasks with personal priorities or values","Sometimes, after focusing for a long time, I get a feeling of frustration (unreleased energy), and I would change that.",Absent,35 - 44,Male,Employed full-time,United Kingdom,Somewhat,Honesty,Empathy,Kindness
"Yes, I consent",21–30 minutes,"Social media scrolling, Colleagues, family, or friends, Internal thoughts/worries",Sometimes,Often,Sometimes,Neutral,I feel somewhat more focused,None of the above,Not feeling the urge to scroll on my phone as much,Disanced,35 - 44,Female,Self-employed,Scotland ,Not really,Honesty,Empathy,Resilience 
"Yes, I consent",11–20 minutes,"Smartphone notifications, Email or messaging apps, Background noise / environment",Sometimes,Sometimes,Often,Somewhat aligned,I feel much more focused and energized,"Silencing notifications, Taking breaks / exercise",Possibly switch from a smartphone to a dumb phone ,Frustrated,35 - 44,Female,Other,UK,Somewhat,Family Art Music,,
"Yes, I consent",21–30 minutes,"Email or messaging apps, Multitasking / switching tasks, Internal thoughts/worries",Sometimes,Sometimes,Often,Somewhat aligned,I feel somewhat more focused,"Working in quiet spaces, Taking breaks / exercise",ability to block out distracting thoughts about other matters,frustration,55 +,Male,Other,UK Yorkshire,Somewhat,honesty,insight,patience
"Yes, I consent",Less than 5 minutes,"Smartphone notifications, Social media scrolling, Internal thoughts/worries",Sometimes,Sometimes,Never,Not aligned at all,I feel much more focused and energized,None of the above,Have the tasks on my phone. When its on my laptop i feel more open to use my phone,Rushed,25 - 34,Male,Employed full-time,United statea,Somewhat,Righteousness,Fairness,Logical
"Yes, I consent",21–30 minutes,"Smartphone notifications, Colleagues, family, or friends, Internal thoughts/worries",Often,Often,Often,Neutral,Neutral,"Scheduling focus time / using timers, Working in quiet spaces, Taking breaks / exercise",Stop my racing thoughts. ,Frantic.,35 - 44,Male,Self-employed,United Kingdom,Not really,Family,Purpose,Accomplishment 
"Yes, I consent",More than 30 minutes,"Email or messaging apps, Multitasking / switching tasks",Rarely,Rarely,Rarely,Somewhat aligned,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise",To focus longer on more complicated tasks,Conflicted,25 - 34,Female,Employed part-time,UK,Somewhat,"Determination, honesty ",,
"Yes, I consent",More than 30 minutes,"Email or messaging apps, Background noise / environment, Colleagues, family, or friends",Sometimes,Sometimes,Sometimes,Very strongly aligned,I feel much more focused and energized,"Silencing notifications, Taking breaks / exercise",A quieter office environment at work,Frustrated,55 +,Male,Employed full-time,UK,Somewhat,"Honesty,"," hard work, ",attention to detail
"Yes, I consent",More than 30 minutes,"Colleagues, family, or friends",Rarely,Rarely,Rarely,Very strongly aligned,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces",None,Annoyed,45 - 54,Female,Employed part-time,United Kingdom,Somewhat,Honesty,Resilience,
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Multitasking / switching tasks, Colleagues, family, or friends",Rarely,Sometimes,Rarely,Neutral,No noticeable difference,Working in quiet spaces,Getting a soundproof office,Frustrated but this does not happen very often.,55 +,Male,Employed full-time,United KIngdom,Yes definitely,Honesty,Tradition,Integrity
"Yes, I consent",11–20 minutes,"Smartphone notifications, Multitasking / switching tasks, Background noise / environment",Rarely,Sometimes,Sometimes,Somewhat aligned,I feel somewhat more focused,"Working in quiet spaces, Taking breaks / exercise, Aligning tasks with personal priorities or values",Reduce my time on smartphone,lazy,35 - 44,Male,Employed full-time,UK,Yes definitely,Family,honesty,respectful
"Yes, I consent",11–20 minutes,"Multitasking / switching tasks, Colleagues, family, or friends, Internal thoughts/worries",Sometimes,Sometimes,Sometimes,Somewhat misaligned,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise",Being able to focus without external thoughts or mind wandering.,Irritated,25 - 34,Male,Employed full-time,United States,Not really,Fairness,Kindness,Caring
"Yes, I consent",5–10 minutes,"Smartphone notifications, Background noise / environment",Sometimes,Sometimes,Sometimes,Somewhat aligned,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces",change my brain,frustrated,55 +,Male,Employed part-time,australia,Somewhat,"honesty, ",humanity,concern
"Yes, I consent",11–20 minutes,"Social media scrolling, Multitasking / switching tasks, Background noise / environment",Sometimes,Sometimes,Often,Somewhat aligned,Neutral,Scheduling focus time / using timers,Turn my phone off.,Muddled,35 - 44,Female,Employed full-time,Scotland,Yes definitely,"Loyalty, Trustworthy, Kindness",Efficiency,Fairness
"Yes, I consent",11–20 minutes,"Smartphone notifications, Multitasking / switching tasks, Internal thoughts/worries",Sometimes,Sometimes,Sometimes,Somewhat aligned,I feel much more focused and energized,"Scheduling focus time / using timers, Taking breaks / exercise, Aligning tasks with personal priorities or values",less time on smartphone ,detached,45 - 54,Female,Employed full-time,England,Yes definitely,"being kind , being helpful , being generous",being authentic,being open
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Social media scrolling, Internal thoughts/worries",Rarely,Sometimes,Sometimes,Somewhat aligned,I feel much more focused and energized,"Silencing notifications, Taking breaks / exercise, Aligning tasks with personal priorities or values",remove social media!,frustrated,35 - 44,Female,Self-employed,North West England,Somewhat,family,loyalty,kindness
"Yes, I consent",21–30 minutes,"Social media scrolling, Colleagues, family, or friends, Internal thoughts/worries",Rarely,Sometimes,Rarely,Somewhat aligned,I feel somewhat more focused,Scheduling focus time / using timers,Have less chores / household jobs which i try to do during tasks i complete throughout the day which impact me focusing for a long period of time on one thing,tired,25 - 34,Female,Self-employed,UK,Somewhat,Kindness,Authenticity,Love
"Yes, I consent",More than 30 minutes,Smartphone notifications,Rarely,Never,Rarely,Somewhat aligned,Neutral,Silencing notifications,get rid of my mobile,frustrated,55 +,Female,Employed full-time,"UK, london",Yes definitely,honesty,kindness,friendship
"Yes, I consent",21–30 minutes,"Social media scrolling, Multitasking / switching tasks, Internal thoughts/worries",Sometimes,Sometimes,Often,Somewhat aligned,I feel much more focused and energized,"Scheduling focus time / using timers, Taking breaks / exercise, Aligning tasks with personal priorities or values",Pay off debts so my financial worries and anxiety would go away and I could concentrate and focus better,Frustrated,35 - 44,Female,Employed part-time,UK,Yes definitely,"Kindness, family, empathy",Gratitude,Independence
"Yes, I consent",More than 30 minutes,"Social media scrolling, Background noise / environment, Internal thoughts/worries",Often,Sometimes,Often,Neutral,Neutral,"Working in quiet spaces, Taking breaks / exercise",To be medicated for suspected ADHD,Annoyed,35 - 44,Female,Employed full-time,United Kingdom,Somewhat,Being kind,Being honest,Being loyal and loving
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Social media scrolling, Background noise / environment",Rarely,Rarely,Rarely,Very strongly aligned,Neutral,None of the above,I'd like to be able to ignore phone notifications,indifferent,35 - 44,Female,Other,United Kingdom,Somewhat,Honesty,Loyalty,Family values
"Yes, I consent",5–10 minutes,"Background noise / environment, Colleagues, family, or friends, Pain (I have a physical condition which means I am in constant pain), also My dog who barks at every person/car/cat/imaginary being she sees out of the window!",Often,Almost always,Almost always,Somewhat misaligned,I feel much more focused and energized,Taking breaks / exercise,Be free of the pain which is ever present,Frustrated,55 +,Female,Other,UK,Yes definitely,"Honesty, ",freedom,equality
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Colleagues, family, or friends",Rarely,Sometimes,Rarely,Very strongly aligned,I feel somewhat more focused,None of the above,Have an extra room where I could do the necessary work away from distractions.,Frustrated,55 +,Male,Other,United Kingdom/North West,Somewhat,Love (as per Agape),Faith,Service
"Yes, I consent",More than 30 minutes,"Email or messaging apps, Multitasking / switching tasks, Colleagues, family, or friends",Rarely,Sometimes,Rarely,Somewhat aligned,No noticeable difference,"Working in quiet spaces, Taking breaks / exercise",To reduce my boredom threshold so I don’t feel the need to look at something else when undertaking a routine but important task.,Disappointed ,45 - 54,Male,Employed full-time,United Kingdom,Somewhat,Honesty,Helping others ,Integrity 
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Email or messaging apps, Colleagues, family, or friends",Rarely,Rarely,Rarely,Somewhat aligned,I feel much more focused and energized,None of the above,don't consider not having the ability to focus,irritated,55 +,Male,Employed full-time,United Kingdom,Somewhat,"honesty,  ",loyal,conscientious 
"Yes, I consent",21–30 minutes,"Smartphone notifications, Colleagues, family, or friends",Rarely,Sometimes,Sometimes,Very strongly aligned,I feel much more focused and energized,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise",To be able to not daydream or procrastinate and juse see something through to the end so it is done quicker,Uncertain,35 - 44,Male,Employed full-time,United Kingdom,Yes definitely,Honesty,Punctuality,Patience
"Yes, I consent",11–20 minutes,"Smartphone notifications, Email or messaging apps, My dog as I work from home",Rarely,Often,Sometimes,Somewhat aligned,I feel somewhat more focused,None of the above,Nothing. I'm not convinced the distractions affect the quality of my work.,Multitasking - I can do several things at once usually,45 - 54,Female,Employed part-time,United Kingdom,Yes definitely,"Love, Kindness, Compassion",,
"Yes, I consent",More than 30 minutes,"Email or messaging apps, Social media scrolling, Colleagues, family, or friends",Sometimes,Sometimes,Rarely,Very strongly aligned,I feel much more focused and energized,"Silencing notifications, Working in quiet spaces, Aligning tasks with personal priorities or values",I would change on how l strategize and ensure that my focus aligns with the goal and the objectives that which l want to achieve.,"Betrayed. Whenever l lose focus yet l had decided to focus until l achieve something, l always feel betrayed by my inner self.",25 - 34,Female,Employed full-time,USA,Yes definitely,Commitment,Goal oriented,Time conscious
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Email or messaging apps, Internal thoughts/worries",Sometimes,Sometimes,Sometimes,Somewhat aligned,Neutral,"Silencing notifications, Scheduling focus time / using timers, Taking breaks / exercise",That I do not delay starting things,Annoyed,55 +,Female,Unemployed,England,Not really,"Peace including non aggression, quiet, lack of worry",Honesty no matter how hard,Tolerance - live & let live
"Yes, I consent",11–20 minutes,"Multitasking / switching tasks, Background noise / environment, Internal thoughts/worries",Sometimes,Often,Rarely,Neutral,I feel somewhat more focused,"Working in quiet spaces, Taking breaks / exercise, Aligning tasks with personal priorities or values","I would want to have a greater attention span, and find out how to maintain attention in noise.",dazed,25 - 34,Male,Student,United States,Somewhat,comfort,freedom,pleasure
"Yes, I consent",21–30 minutes,"Smartphone notifications, Email or messaging apps, Colleagues, family, or friends",Sometimes,Rarely,Sometimes,Neutral,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise",Being able to be more persistent with getting myself back on track,Distracted,25 - 34,Female,Employed full-time,UK,Yes definitely,Equity,Freedom,Openness
"Yes, I consent",5–10 minutes,"Colleagues, family, or friends, Internal thoughts/worries",Often,Almost always,Sometimes,Somewhat misaligned,I feel somewhat more focused,Taking breaks / exercise,not to get into my own head over worries,disruptive,25 - 34,Male,Employed full-time,northwest england,"No, not at all","family,",honestly,caring
"Yes, I consent",Less than 5 minutes,"Smartphone notifications, Email or messaging apps, My mind wandering.",Almost always,Sometimes,Rarely,Neutral,I feel somewhat more focused,None of the above,Find out why my brain seems to be deteriorating and fix it.,Sad,55 +,Male,Other,England,Yes definitely,Kindness,Empathy,Consideration for others
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Email or messaging apps, Social media scrolling",Sometimes,Sometimes,Sometimes,Somewhat aligned,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces",Just focus on what is in front of me,frustrated,55 +,Female,Employed part-time,"Hampshire, UK","No, not at all",family,honesty,
