Do you consent to participate in this study?,"Section 1: Core Focus
Q1. On average, how long can you stay focused on a single task before getting distracted?",Q2. What distracts you most often during the day? (Select up to 3. If 'Other' please specify.),Q3. How often do you feel frustrated because you canâ€™t stay focused long enough to finish important tasks?,Q4 How often do you feel drained even on days you havent worked,Q5. How often do you feel busy all day but accomplish little of real importance?,"Section 3: Values Alignment
Q6. To what extent do you feel your daily tasks align with your personal values?","Q7. When your work or activities reflect your values, how does it affect your focus?","Section 4: Coping & Behaviors
Q8. Which strategies do you currently use to manage distractions? (Select all that apply)","Section 5: Open Reflection
Q9. If you could change one thing to improve your ability to focus, what would it be? (Open text)",Q10. Whatâ€™s one word that best describes how you feel when you lose focus? (Open text),"Section 6: Demographics
Q11. What is your age?",Q12. What is your gender?,Q13. What is your current employment status?,Q14. Which country/region do you live in?,Q15 Do you feel confident you could name your top 3 values,"Q16a. Please try listing up to 3 values that are most important to you. Don't worry if youâ€™re not sure, just write what comes to mind.",Q16b. Please list a second personal value (Value 2 â€“ optional),Q16c. Please list a third personal value (Value 3 â€“ optional),Started at,Completed at,Reviewed at,Archived at,Time taken,Age,Sex,Ethnicity simplified,Country of residence,Nationality,Language,Employment status
"Yes, I consent",11â€“20 minutes,"Smartphone notifications, Multitasking / switching tasks, Colleagues, family, or friends",Often,Sometimes,Often,Somewhat misaligned,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise","Less work I have to complete at the same time, I always feel like I have too much to do at the same time ",Frustrated ,45 - 54,Female,Employed full-time,New Zealand ,Somewhat,Treating people well ,Fairness,Quality work,2025-09-03T09:10:35.782000Z,2025-09-03T09:18:22.104000Z,,2025-09-03T09:18:22.485298Z,467,52,Female,White,New Zealand,New Zealand,English,Full-Time
"Yes, I consent",11â€“20 minutes,"Background noise / environment, Colleagues, family, or friends, Internal thoughts/worries",Sometimes,Sometimes,Often,Somewhat misaligned,I feel somewhat more focused,Silencing notifications,Feeling like any of it matters in any way.,Emptiness,35 - 44,Prefer not to say,Employed full-time,England,Not really,"Fairness, compassion, directness",,,2025-09-03T09:15:40.314000Z,2025-09-03T09:19:22.062000Z,,2025-09-03T09:19:22.449166Z,222,36,Male,White,United Kingdom,United Kingdom,English,DATA_EXPIRED
"Yes, I consent",21â€“30 minutes,Background noise / environment,Rarely,Rarely,Rarely,Somewhat aligned,I feel somewhat more focused,Working in quiet spaces,Remove any unavoidable external noise or distraction,Frustrated,55 +,Female,Employed part-time,UK,Yes definitely,"Honesty,",Loyalty,Commitment,2025-09-03T09:14:46.751000Z,2025-09-03T09:18:56.168000Z,,2025-09-03T09:18:56.576414Z,250,60,Female,White,United Kingdom,United Kingdom,English,Part-Time
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Background noise / environment, Internal thoughts/worries",Sometimes,Sometimes,Rarely,Very strongly aligned,I feel much more focused and energized,"Silencing notifications, Scheduling focus time / using timers, Working in quiet spaces, Aligning tasks with personal priorities or values",I think mindfulnessmeditation is a the best tool to improve your ability to focus. Mindfulness Meditation helps improve your focus and concentration.,"Confused/Frustrated. One always seems confused, mentally tired and unable to concentrate whenever he/she loses focus while completing task/job.",45 - 54,Male,Employed full-time,UK,Yes definitely,Compassion,Patience,Emotional resilience,2025-09-03T09:09:49.661000Z,2025-09-03T09:18:34.577000Z,,2025-09-03T09:18:35.148662Z,525,48,Male,Asian,United Kingdom,United Kingdom,English,Full-Time
"Yes, I consent",21â€“30 minutes,"Background noise / environment, Colleagues, family, or friends, Internal thoughts/worries",Rarely,Sometimes,Sometimes,Very strongly aligned,I feel somewhat more focused,"Working in quiet spaces, Taking breaks / exercise, Aligning tasks with personal priorities or values","Quite probably retiring!  As we age, it becomes harder to focus on several tasks at once.  This doesn't happen all the time, and there are days where I feel extremely focused, however removing my job would help.  And lists!  I always have a lot of lists, so condensing these and making them more useful would help.",Frustrated,55 +,Female,Employed full-time,United Kingdom,Somewhat,Helping my daughters,Honesty,Loyalty,2025-09-03T09:14:19.492000Z,2025-09-03T09:18:55.994000Z,,2025-09-03T09:18:56.387821Z,277,62,Female,White,United Kingdom,United Kingdom,English,Full-Time
"Yes, I consent",More than 30 minutes,"Background noise / environment, Colleagues, family, or friends, Internal thoughts/worries",Rarely,Rarely,Sometimes,Somewhat aligned,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise, Aligning tasks with personal priorities or values",The ability to be able to stay focused even when the task is extremely boring or unpleasant,uninterested,35 - 44,Female,Employed full-time,USA,Yes definitely,Health,Family,Work,2025-09-03T09:09:54.596000Z,2025-09-03T09:19:02.536000Z,,2025-09-03T09:19:02.944143Z,548,37,Female,White,United States,United States,English,DATA_EXPIRED
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Social media scrolling, Colleagues, family, or friends",Rarely,Often,Often,Somewhat aligned,I feel much more focused and energized,"Working in quiet spaces, Taking breaks / exercise",The ability to put worries to the back of my mind.,Frustrated,45 - 54,Female,Employed full-time,Uk,Somewhat,Honesty ,Kindness,,2025-09-03T09:14:03.169000Z,2025-09-03T09:19:18.571000Z,,2025-09-03T09:19:18.957054Z,316,52,Female,White,United Kingdom,United Kingdom,English,Full-Time
"Yes, I consent",11â€“20 minutes,"Smartphone notifications, Email or messaging apps, Multitasking / switching tasks",Sometimes,Sometimes,Sometimes,Somewhat aligned,I feel much more focused and energized,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise, Aligning tasks with personal priorities or values",Minimise interactions with phone,anxious,25 - 34,Female,Employed full-time,Australia,Somewhat,"concern for others, loyalty, creativity",love,happiness,2025-09-03T09:10:43.398000Z,2025-09-03T09:18:42.022000Z,,2025-09-03T09:18:42.406001Z,479,30,Female,Asian,Australia,Australia,Chinese,Full-Time
"Yes, I consent",5â€“10 minutes,"Social media scrolling, Multitasking / switching tasks, Background noise / environment",Almost always,Almost always,Often,Somewhat aligned,I feel somewhat more focused,None of the above,Finding enjoymemt,Depressed,45 - 54,Female,Employed full-time,Australia,Yes definitely,"Ethical, transperancy, honesty",Trust,Fairness,2025-09-03T09:13:49.977000Z,2025-09-03T09:19:11.080000Z,,2025-09-03T09:19:11.463867Z,322,49,Female,White,Australia,Australia,English,Full-Time
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Email or messaging apps, Multitasking / switching tasks",Sometimes,Rarely,Sometimes,Somewhat aligned,Neutral,"Silencing notifications, Taking breaks / exercise",limit when i read and reply to emails,aware,35 - 44,Male,Employed full-time,UK,Somewhat,respect,work ethic ,honesty,2025-09-03T09:15:09.387000Z,2025-09-03T09:19:28.803000Z,,2025-09-03T09:19:29.180195Z,260,37,Male,Black,United Kingdom,United Kingdom,English,DATA_EXPIRED
"Yes, I consent",21â€“30 minutes,"Email or messaging apps, Background noise / environment, Colleagues, family, or friends",Almost always,Almost always,Almost always,Somewhat aligned,I feel somewhat more focused,"Working in quiet spaces, Taking breaks / exercise, Aligning tasks with personal priorities or values",Be more focused on important tasks and relationships.,"Dissapointed, sad.",25 - 34,Male,Student,United Kingdom,Yes definitely,"Honesty, kind, hard working.",Communication.,Transparent.,2025-09-03T09:15:32.162000Z,2025-09-03T09:19:08.581000Z,,2025-09-03T09:19:08.980551Z,217,33,Male,White,United Kingdom,United Kingdom,English,DATA_EXPIRED
"Yes, I consent",5â€“10 minutes,"Social media scrolling, Background noise / environment, Colleagues, family, or friends",Almost always,Almost always,Often,Somewhat aligned,I feel somewhat more focused,Working in quiet spaces,My ability to focus on tasks I dont find interesting,Frustrated,25 - 34,Female,Employed full-time,England,Not really,be kind,have empathy,have boundaries,2025-09-03T09:16:07.825000Z,2025-09-03T09:19:15.365000Z,,2025-09-03T09:19:16.200595Z,188,33,Female,White,United Kingdom,United Kingdom,English,Full-Time
"Yes, I consent",5â€“10 minutes,"Social media scrolling, Background noise / environment, Colleagues, family, or friends",Sometimes,Almost always,Often,Somewhat aligned,I feel somewhat more focused,"Silencing notifications, Taking breaks / exercise",Remove my phone from the situation ,Frustrated,25 - 34,Female,Employed full-time,England ,Not really,"Hard work, trust, family ",,,2025-09-03T09:15:12.474000Z,2025-09-03T09:19:19.753000Z,,2025-09-03T09:19:20.184845Z,248,30,Female,White,United Kingdom,United Kingdom,English,DATA_EXPIRED
"Yes, I consent",11â€“20 minutes,"Smartphone notifications, Social media scrolling, Colleagues, family, or friends",Almost always,Almost always,Almost always,Somewhat misaligned,I feel much more focused and energized,"Silencing notifications, Taking breaks / exercise, Aligning tasks with personal priorities or values",That I would have more willpower. I read a lot and sometimes I take a quick break to say reply to a friend and before I know Iâ€™m on TikTok. I just wish I had more willpower to delete the app and never use ut ,Frustrated ,25 - 34,Female,Employed full-time,United Kingdom Scotland ,Yes definitely,Family and friends being priority,Treating people how I want to be treated in life ,Living life to the fullest ,2025-09-03T09:11:26.847000Z,2025-09-03T09:19:21.432000Z,,2025-09-03T09:19:21.811316Z,475,27,Female,White,United Kingdom,United Kingdom,English,DATA_EXPIRED
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Email or messaging apps, Colleagues, family, or friends",Sometimes,Sometimes,Often,Somewhat misaligned,I feel somewhat more focused,"Working in quiet spaces, Taking breaks / exercise",A zone where it was guaranteed to be silent around me. Without phones to distracted ,Overwhelmed,25 - 34,Male,Employed full-time,England,Not really,Family,Integrity,Faithfulness ,2025-09-03T09:15:27.804000Z,2025-09-03T09:21:41.950000Z,,2025-09-03T09:21:42.342665Z,375,30,Male,White,United Kingdom,United Kingdom,English,Full-Time
"Yes, I consent",21â€“30 minutes,"Email or messaging apps, Multitasking / switching tasks, Internal thoughts/worries",Sometimes,Sometimes,Sometimes,Somewhat misaligned,I feel much more focused and energized,"Working in quiet spaces, Taking breaks / exercise, Aligning tasks with personal priorities or values",I would lock myself in a room with no distractions at all.,Away,45 - 54,Female,Employed part-time,United Kingdom,Yes definitely,Integrity,Honesty,Truthfulness,2025-09-03T09:14:09.204000Z,2025-09-03T09:19:18.491000Z,,2025-09-03T09:19:18.887388Z,310,52,Female,White,United Kingdom,Portugal,Portuguese,Part-Time
"Yes, I consent",21â€“30 minutes,Multitasking / switching tasks,Rarely,Sometimes,Sometimes,Somewhat aligned,I feel much more focused and energized,"Working in quiet spaces, Taking breaks / exercise, Aligning tasks with personal priorities or values",Increased determination to get started on tasks.,Disappointed,55 +,Female,Other,England,Somewhat,Integrity,Trust,Reliability,2025-09-03T09:11:17.962000Z,2025-09-03T09:19:25.761000Z,,2025-09-03T09:19:26.139598Z,488,66,Female,White,United Kingdom,United Kingdom,English,"Not in paid work (e.g. homemaker', 'retired or disabled)"
"Yes, I consent",More than 30 minutes,"Email or messaging apps, Multitasking / switching tasks, Boredom, or lack of sustained energy",Rarely,Rarely,Rarely,Somewhat aligned,I feel somewhat more focused,"Taking breaks / exercise, Aligning tasks with personal priorities or values","Getting started is usually the thing, actually. I often want to do something, or I've looked forward to it, but then I'll put it off. If I understood why I do this, I think I'd be a wiser and happier person, but it still doesn't stop me doing it.",Weary,45 - 54,Male,Employed full-time,United Kingdom,Somewhat,morality,consistency,eudaimonia,2025-09-03T09:16:18.229000Z,2025-09-03T09:19:28.156000Z,,2025-09-03T09:19:28.543224Z,190,51,Male,White,United Kingdom,United Kingdom,English,Full-Time
"Yes, I consent",More than 30 minutes,"Background noise / environment, Internal thoughts/worries",Sometimes,Often,Often,Neutral,I feel somewhat more focused,Silencing notifications,A quiet place to live.,Frustrated,55 +,Male,Unemployed,England.,Not really,Honesty.,,,2025-09-03T09:12:38.793000Z,2025-09-03T09:19:38.887000Z,,2025-09-03T09:19:39.263030Z,421,56,Male,White,United Kingdom,United Kingdom,English,Unemployed (and job seeking)
"Yes, I consent",More than 30 minutes,"Multitasking / switching tasks, Background noise / environment, Internal thoughts/worries",Often,Sometimes,Sometimes,Very strongly aligned,I feel much more focused and energized,"Working in quiet spaces, Taking breaks / exercise, Aligning tasks with personal priorities or values",To be able to have complete peace without  other people causing noise,frustrated,55 +,Female,Self-employed,UK,Somewhat,"Honesty, ",loyalty,hard working,2025-09-03T09:14:00.809000Z,2025-09-03T09:19:49.884000Z,,2025-09-03T09:19:50.253115Z,350,62,Female,White,United Kingdom,United Kingdom,English,Part-Time
"Yes, I consent",21â€“30 minutes,"Email or messaging apps, Colleagues, family, or friends, Internal thoughts/worries",Often,Sometimes,Rarely,Somewhat aligned,I feel somewhat more focused,"Silencing notifications, Scheduling focus time / using timers, Working in quiet spaces, Taking breaks / exercise","Office space, people more spread out",Frustrated,55 +,Female,Employed full-time,UK,Somewhat,Honesty,Respect,Approachability,2025-09-03T09:10:51.521000Z,2025-09-03T09:19:31.263000Z,,2025-09-03T09:19:31.641255Z,520,64,Female,White,United Kingdom,United Kingdom,English,DATA_EXPIRED
"Yes, I consent",21â€“30 minutes,"Background noise / environment, Colleagues, family, or friends, Internal thoughts/worries",Sometimes,Sometimes,Sometimes,Somewhat aligned,I feel somewhat more focused,"Working in quiet spaces, Taking breaks / exercise",try to get a decent nights sleep,inattentive,55 +,Female,Employed full-time,england,Yes definitely,"honesty, ",accountably,punctuality,2025-09-03T09:12:55.971000Z,2025-09-03T09:20:35.140000Z,,2025-09-03T09:20:35.530390Z,460,65,Female,White,United Kingdom,United Kingdom,English,Full-Time
"Yes, I consent",21â€“30 minutes,"Smartphone notifications, Email or messaging apps, Colleagues, family, or friends",Sometimes,Sometimes,Often,Neutral,I feel somewhat more focused,"Scheduling focus time / using timers, Taking breaks / exercise",silence phone and notifications,Failure,45 - 54,Female,Employed full-time,United Kingdom,Yes definitely,"Honesty, kindness, responsibility",compassion,achievement,2025-09-03T09:13:52.006000Z,2025-09-03T09:19:26.639000Z,,2025-09-03T09:19:27.023205Z,335,53,Female,White,United Kingdom,Greece,Greek,DATA_EXPIRED
"Yes, I consent",More than 30 minutes,"Email or messaging apps, Multitasking / switching tasks, Colleagues, family, or friends",Rarely,Sometimes,Rarely,Somewhat aligned,I feel somewhat more focused,"Taking breaks / exercise, Aligning tasks with personal priorities or values",less interaction with people as I love to talk,overwhelemed,35 - 44,Female,Employed full-time,England,Somewhat,family,fairness,growth,2025-09-03T09:11:02.440000Z,2025-09-03T09:19:27.731000Z,,2025-09-03T09:19:28.110504Z,506,40,Female,White,United Kingdom,United Kingdom,English,DATA_EXPIRED
"Yes, I consent",21â€“30 minutes,"Email or messaging apps, Multitasking / switching tasks, Internal thoughts/worries",Sometimes,Often,Almost always,Somewhat misaligned,I feel much more focused and energized,"Scheduling focus time / using timers, Working in quiet spaces, Taking breaks / exercise, Aligning tasks with personal priorities or values","I would just like to focus on one task at a time and for my mind to not wander to the next task, or think about emails, for example, although I think it does that to help me get through the task.",Frustrated,35 - 44,Male,Employed full-time,UK,Somewhat,Care for animals and the environment.,A love of the arts as it is one of the most important things we have as humans,Be honest and never compromise who we are and what we truly believe,2025-09-03T09:09:04.400000Z,2025-09-03T09:19:33.537000Z,,2025-09-03T09:19:33.931453Z,630,43,Male,White,United Kingdom,United Kingdom,English,DATA_EXPIRED
"Yes, I consent",11â€“20 minutes,"Multitasking / switching tasks, Background noise / environment",Rarely,Rarely,Rarely,Somewhat aligned,I feel somewhat more focused,Aligning tasks with personal priorities or values,Working in a quieter environment ,Frustrated ,55 +,Male,Employed full-time,United Kingdom,Somewhat,Honesty,Loyalty,Decisive ,2025-09-03T09:11:56.431000Z,2025-09-03T09:19:28.370000Z,,2025-09-03T09:19:28.753902Z,452,63,Male,White,United Kingdom,United Kingdom,English,Full-Time
"Yes, I consent",5â€“10 minutes,"Social media scrolling, Background noise / environment, Internal thoughts/worries",Almost always,Often,Often,Somewhat aligned,No noticeable difference,"Silencing notifications, Working in quiet spaces, Using apps/tools to block distractions",I would like to find a way that consistentlly works,Useless,25 - 34,Female,Self-employed,United Kingdom,Somewhat,Loyalty,Empathetic,Caring,2025-09-03T09:15:39.106000Z,2025-09-03T09:19:41.954000Z,,2025-09-03T09:19:42.346045Z,243,30,Female,White,United Kingdom,United Kingdom,English,Full-Time
"Yes, I consent",11â€“20 minutes,"Email or messaging apps, Social media scrolling, Background noise / environment",Sometimes,Sometimes,Sometimes,Somewhat aligned,I feel much more focused and energized,None of the above,Be in a better environment,Harried ,25 - 34,Female,Unemployed,UK,Somewhat,Loyalty. Creativity. Tolerance. ,,,2025-09-03T09:12:36.047000Z,2025-09-03T09:19:27.134000Z,,2025-09-03T09:19:27.509613Z,412,30,Female,White,United Kingdom,United Kingdom,English,DATA_EXPIRED
"Yes, I consent",More than 30 minutes,Smartphone notifications,Rarely,Sometimes,Rarely,Neutral,No noticeable difference,"Silencing notifications, Taking breaks / exercise",I would make it so I can focus on boring tasks for longer without seeking entertainment elsewhere ,Bored,25 - 34,Male,Employed full-time,United Kingdom,Yes definitely,Temperance,Honour,Strength,2025-09-03T09:11:14.662000Z,2025-09-03T09:19:21.140000Z,,2025-09-03T09:19:21.534989Z,487,28,Male,Mixed,United Kingdom,United Kingdom,English,Full-Time
"Yes, I consent",21â€“30 minutes,"Smartphone notifications, Email or messaging apps, Multitasking / switching tasks",Sometimes,Sometimes,Often,Somewhat aligned,I feel somewhat more focused,"Working in quiet spaces, Taking breaks / exercise, Aligning tasks with personal priorities or values",Stop worrying,Frustrated ,55 +,Male,Other,UK / Scotland,Somewhat,Resilience,Kindness,Integrity ,2025-09-03T09:15:44.042000Z,2025-09-03T09:19:42.087000Z,,2025-09-03T09:19:42.693026Z,239,69,Male,White,United Kingdom,United Kingdom,English,"Not in paid work (e.g. homemaker', 'retired or disabled)"
"Yes, I consent",21â€“30 minutes,"Multitasking / switching tasks, Internal thoughts/worries, Boredom ",Often,Often,Sometimes,Neutral,I feel much more focused and energized,"Working in quiet spaces, Taking breaks / exercise, Aligning tasks with personal priorities or values",Live alone. Many of the tasks I do daily are tidying up after others or decorating to clean up the mess/marks left by other members of the household.,Frustrated.,55 +,Female,Other,East Midlands ,Somewhat,Be environmentally aware.,Equality,Live within my means,2025-09-03T09:13:06.507000Z,2025-09-03T09:19:39.549000Z,,2025-09-03T09:19:39.947822Z,394,57,Female,White,United Kingdom,United Kingdom,English,DATA_EXPIRED
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Social media scrolling, Multitasking / switching tasks",Sometimes,Often,Often,Somewhat misaligned,I feel much more focused and energized,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise","Digital detox, no smartphone",Frustrated,35 - 44,Male,Employed full-time,Scotland,Somewhat,"Honesty, loyalty, respect",,,2025-09-03T09:13:42.331000Z,2025-09-03T09:19:40.258000Z,,2025-09-03T09:19:40.661762Z,358,41,Male,White,United Kingdom,United Kingdom,English,Full-Time
"Yes, I consent",11â€“20 minutes,"Smartphone notifications, Email or messaging apps, Social media scrolling",Sometimes,Sometimes,Often,Somewhat misaligned,I feel somewhat more focused,"Scheduling focus time / using timers, Working in quiet spaces","I'd travel back in time and live in an era where there weren't smartphones (or, realistically, I'd shut my phone away in a different room).",Frustrated,25 - 34,Female,Employed full-time,"England, UK",Somewhat,Creative,Academic,Resilient,2025-09-03T09:16:21.190000Z,2025-09-03T09:19:25.542000Z,,2025-09-03T09:19:25.941971Z,185,30,Female,White,United Kingdom,United Kingdom,English,Full-Time
"Yes, I consent",More than 30 minutes,"Social media scrolling, Background noise / environment, Colleagues, family, or friends",Rarely,Rarely,Sometimes,Somewhat aligned,I feel somewhat more focused,"Working in quiet spaces, Taking breaks / exercise",I would try to relax more and have a quiet environment when needing to focus.,Fustrated,35 - 44,Female,Employed full-time,United Kigdom,Yes definitely,Loyalty,Honesty,Independence,2025-09-03T09:13:50.128000Z,2025-09-03T09:19:42.134000Z,,2025-09-03T09:19:42.520723Z,353,42,Female,White,United Kingdom,United Kingdom,English,Full-Time
"Yes, I consent",21â€“30 minutes,"Email or messaging apps, Multitasking / switching tasks, Colleagues, family, or friends",Rarely,Sometimes,Rarely,Very strongly aligned,I feel much more focused and energized,"Scheduling focus time / using timers, Taking breaks / exercise, Aligning tasks with personal priorities or values",Remove my phone as a temptation/distraction,Distracted,25 - 34,Male,Employed full-time,UK,Yes definitely,Kindness,Integrity,Creativity,2025-09-03T09:15:54.910000Z,2025-09-03T09:19:44.091000Z,,2025-09-03T09:19:44.461907Z,230,32,Male,White,United Kingdom,United Kingdom,English,Full-Time
"Yes, I consent",More than 30 minutes,"Email or messaging apps, Multitasking / switching tasks, Colleagues, family, or friends",Sometimes,Often,Often,Somewhat aligned,I feel much more focused and energized,"Scheduling focus time / using timers, Working in quiet spaces, Taking breaks / exercise",Iâ€™d be more disciplined at keeping to my schedule . My job is reactive and this can be challenging to keep to my calendar schedule ,Stressed,25 - 34,Female,Employed full-time,Scotland UK,Not really,Honesty,Integrity ,Kindness ,2025-09-03T09:16:04.045000Z,2025-09-03T09:19:41.954000Z,,2025-09-03T09:19:42.357576Z,218,32,Female,White,United Kingdom,United Kingdom,English,Full-Time
"Yes, I consent",11â€“20 minutes,"Smartphone notifications, Email or messaging apps, Colleagues, family, or friends",Rarely,Rarely,Sometimes,Somewhat aligned,I feel somewhat more focused,Silencing notifications,No smart phones,frustrated,45 - 54,Female,Employed part-time,England,Yes definitely,Good manners,Honesty,Kindness,2025-09-03T09:15:03.673000Z,2025-09-03T09:19:51.220000Z,,2025-09-03T09:19:51.638496Z,288,45,Female,White,United Kingdom,United Kingdom,English,Part-Time
"Yes, I consent",11â€“20 minutes,"Email or messaging apps, Colleagues, family, or friends, Pets",Sometimes,Often,Rarely,Neutral,No noticeable difference,None of the above,Being alone would definitely improve my ability to focus.,Bored,35 - 44,Female,Employed part-time,"West Sussex, United Kingdom",Not really,Fairness,Honesty,Empathy,2025-09-03T09:10:29.532000Z,2025-09-03T09:19:42.830000Z,,2025-09-03T09:19:43.226531Z,554,36,Female,White,United Kingdom,United Kingdom,English,Part-Time
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Email or messaging apps",Rarely,Often,Sometimes,Very strongly aligned,I feel much more focused and energized,None of the above,I don't really have a problem with focus and can block out distractions easily. As I get older I find that setting my focus can be difficult. But once I start I can focus,Anger which i tend to direct towards whatever has interupted me,55 +,Female,Other,Ireland,Yes definitely,"Family, Fairness, Honesty",,,2025-09-03T09:12:50.010000Z,2025-09-03T09:19:53.894000Z,,2025-09-03T09:19:54.307403Z,424,62,Female,White,Ireland,Ireland,English,"Not in paid work (e.g. homemaker', 'retired or disabled)"
"Yes, I consent",11â€“20 minutes,Pets,Never,Often,Often,Somewhat misaligned,Neutral,None of the above,Have a fenced yard ,Indifferent,25 - 34,Male,Self-employed,USA,Not really,Compassion,Honesty,,2025-09-03T09:17:03.390000Z,2025-09-03T09:19:46.721000Z,,2025-09-03T09:19:47.103082Z,164,31,Male,White,United States,United States,English,DATA_EXPIRED
"Yes, I consent",21â€“30 minutes,"Smartphone notifications, Email or messaging apps, Social media scrolling",Sometimes,Often,Often,Somewhat aligned,I feel somewhat more focused,"Silencing notifications, Scheduling focus time / using timers, Working in quiet spaces, Taking breaks / exercise",My sleep quality,Pressured,35 - 44,Female,Employed full-time,United States,Yes definitely,Time,Peace,Freedom,2025-09-03T09:08:41.176000Z,2025-09-03T09:19:53.516000Z,,2025-09-03T09:19:53.898353Z,673,41,DATA_EXPIRED,White,United States,United States,English,Full-Time
"Yes, I consent",11â€“20 minutes,"Background noise / environment, Colleagues, family, or friends",Sometimes,Rarely,Rarely,Somewhat aligned,I feel much more focused and energized,"Taking breaks / exercise, Aligning tasks with personal priorities or values",nothing really as i cope well with distractions and can quickly refocus attention back to the task at hand,de-energised,55 +,Male,Employed full-time,UK,Not really,independence,,,2025-09-03T09:14:37.930000Z,2025-09-03T09:19:48.785000Z,,2025-09-03T09:19:49.172476Z,311,60,Male,White,United Kingdom,United Kingdom,English,DATA_EXPIRED
"Yes, I consent",21â€“30 minutes,"Social media scrolling, Background noise / environment, Colleagues, family, or friends",Sometimes,Often,Often,Somewhat aligned,No noticeable difference,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise",Having more discipline ,frustrating,35 - 44,Male,Employed full-time,United Kingdom,Somewhat,Honesty,Kindness,Humility,2025-09-03T09:09:47.428000Z,2025-09-03T09:19:56.036000Z,,2025-09-03T09:19:56.423883Z,609,43,Male,Asian,United Kingdom,United Kingdom,English,Full-Time
"Yes, I consent",11â€“20 minutes,"Smartphone notifications, Email or messaging apps, Multitasking / switching tasks",Sometimes,Sometimes,Sometimes,Somewhat aligned,I feel somewhat more focused,"Working in quiet spaces, Taking breaks / exercise",Have some object to help me focus better,Bored,25 - 34,Male,Employed full-time,Australia,Somewhat,"Respect, Honesty, Integrity",,,2025-09-03T09:17:24.630000Z,2025-09-03T09:20:01.211000Z,,2025-09-03T09:20:01.581462Z,157,28,Male,White,Australia,Australia,English,Full-Time
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Email or messaging apps, Colleagues, family, or friends",Rarely,Rarely,Rarely,Somewhat aligned,I feel somewhat more focused,"Working in quiet spaces, Taking breaks / exercise",Removing smartphone from area of task.,Frustrated ,25 - 34,Male,Employed full-time,United Kingdom ,Yes definitely,"Honesty, integrity, work ethic ",,,2025-09-03T09:11:24.440000Z,2025-09-03T09:19:49.478000Z,,2025-09-03T09:19:49.856234Z,506,32,Male,White,United Kingdom,United Kingdom,English,Full-Time
"Yes, I consent",11â€“20 minutes,"Social media scrolling, Multitasking / switching tasks, Background noise / environment",Rarely,Sometimes,Sometimes,Somewhat misaligned,No noticeable difference,"Working in quiet spaces, Taking breaks / exercise",The one thing to improve my ability to focus is to put on music to focus onto the tasks.,Bored,25 - 34,Female,Unemployed,USA,Somewhat,Honesty,Loyalty to family,,2025-09-03T09:15:13.387000Z,2025-09-03T09:19:49.760000Z,,2025-09-03T09:19:50.220633Z,277,27,Female,Asian,United States,United States,English,Unemployed (and job seeking)
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Background noise / environment, Colleagues, family, or friends",Sometimes,Sometimes,Sometimes,Somewhat aligned,I feel much more focused and energized,"Silencing notifications, Working in quiet spaces",The amount that I use my smartphone. My smartphone is the thing that messes with my ability to focus the most.,Perturbed ,18 - 24,Male,Student,UK,Yes definitely,"Honesty, integrity, loyalty",,,2025-09-03T09:15:42.165000Z,2025-09-03T09:20:00.150000Z,,2025-09-03T09:20:00.548870Z,258,24,Male,White,United Kingdom,United Kingdom,English,"Not in paid work (e.g. homemaker', 'retired or disabled)"
"Yes, I consent",21â€“30 minutes,"Email or messaging apps, Social media scrolling, Background noise / environment",Sometimes,Often,Often,Somewhat aligned,Neutral,Scheduling focus time / using timers,"To be able to block out distractions automatically if I am working without having to set an app or disable notifications, and them to automatically work again if I stop work for a while",Frustrated,35 - 44,Female,Employed full-time,UK,Yes definitely,Loyalty,Honesty,Compassion,2025-09-03T09:13:35.023000Z,2025-09-03T09:19:40.837000Z,,2025-09-03T09:19:41.231700Z,366,35,Female,White,United Kingdom,United Kingdom,English,Full-Time
"Yes, I consent",21â€“30 minutes,"Smartphone notifications, Social media scrolling",Rarely,Sometimes,Sometimes,Somewhat aligned,I feel somewhat more focused,"Using apps/tools to block distractions, Taking breaks / exercise, Aligning tasks with personal priorities or values",Less doom scrolling and checking my phone,Tired,25 - 34,Female,Employed full-time,UK,Not really,Kindness,Trust,Peace,2025-09-03T09:12:08.073000Z,2025-09-03T09:19:44.503000Z,,2025-09-03T09:19:44.898491Z,457,27,Female,White,United Kingdom,Ireland,English,Full-Time
